time,mRegistered,mTimeStamp,mPci,mTac,mEarfcn,mMcc+mMnc,ss,rsrp,rsrq,rssnr,cqi,ta
11-20 17:35:35.742,NO,105830549584752,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:35.742,NO,105830549584752,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:35.755,YES,105830549584752,422,34624,850,310410,31,-77,-10,2147483647,2147483647,2147483647
11-20 17:35:35.755,NO,105830549584752,406,2147483647,850,nullnull,25,-88,-10,2147483647,2147483647,2147483647
11-20 17:35:35.755,NO,105830549584752,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:35.755,NO,105830549584752,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:35.755,NO,105830549584752,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:35.755,NO,105830549584752,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:36.243,YES,105830549584752,422,34624,850,310410,31,-77,-10,2147483647,2147483647,2147483647
11-20 17:35:36.243,NO,105830549584752,406,2147483647,850,nullnull,25,-88,-10,2147483647,2147483647,2147483647
11-20 17:35:36.243,NO,105830549584752,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:36.243,NO,105830549584752,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:36.243,NO,105830549584752,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:36.243,NO,105830549584752,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:36.245,YES,105830549584752,422,34624,850,310410,31,-77,-10,2147483647,2147483647,2147483647
11-20 17:35:36.245,NO,105830549584752,406,2147483647,850,nullnull,25,-88,-10,2147483647,2147483647,2147483647
11-20 17:35:36.245,NO,105830549584752,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:36.245,NO,105830549584752,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:36.245,NO,105830549584752,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:36.245,NO,105830549584752,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:36.754,YES,105833058027762,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:36.754,NO,105833058027762,406,2147483647,850,nullnull,28,-87,-15,2147483647,2147483647,2147483647
11-20 17:35:36.754,NO,105833058027762,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:36.754,NO,105833058027762,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:36.754,NO,105833058027762,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:36.754,NO,105833058027762,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:36.756,YES,105833058027762,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:36.756,NO,105833058027762,406,2147483647,850,nullnull,28,-87,-15,2147483647,2147483647,2147483647
11-20 17:35:36.756,NO,105833058027762,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:36.756,NO,105833058027762,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:36.756,NO,105833058027762,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:36.756,NO,105833058027762,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:37.262,YES,105833058027762,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:37.262,NO,105833058027762,406,2147483647,850,nullnull,28,-87,-15,2147483647,2147483647,2147483647
11-20 17:35:37.262,NO,105833058027762,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:37.262,NO,105833058027762,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:37.262,NO,105833058027762,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:37.262,NO,105833058027762,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:37.268,YES,105833058027762,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:37.268,NO,105833058027762,406,2147483647,850,nullnull,28,-87,-15,2147483647,2147483647,2147483647
11-20 17:35:37.268,NO,105833058027762,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:37.268,NO,105833058027762,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:37.268,NO,105833058027762,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:37.268,NO,105833058027762,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:37.765,YES,105833058027762,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:37.765,NO,105833058027762,406,2147483647,850,nullnull,28,-87,-15,2147483647,2147483647,2147483647
11-20 17:35:37.765,NO,105833058027762,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:37.765,NO,105833058027762,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:37.765,NO,105833058027762,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:37.765,NO,105833058027762,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:37.772,YES,105833058027762,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:37.772,NO,105833058027762,406,2147483647,850,nullnull,28,-87,-15,2147483647,2147483647,2147483647
11-20 17:35:37.772,NO,105833058027762,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:37.772,NO,105833058027762,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:37.772,NO,105833058027762,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:37.772,NO,105833058027762,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:38.266,YES,105833058027762,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:38.266,NO,105833058027762,406,2147483647,850,nullnull,28,-87,-15,2147483647,2147483647,2147483647
11-20 17:35:38.266,NO,105833058027762,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:38.266,NO,105833058027762,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:38.266,NO,105833058027762,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:38.266,NO,105833058027762,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:38.288,YES,105833058027762,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:38.288,NO,105833058027762,406,2147483647,850,nullnull,28,-87,-15,2147483647,2147483647,2147483647
11-20 17:35:38.288,NO,105833058027762,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:38.288,NO,105833058027762,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:38.288,NO,105833058027762,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:38.288,NO,105833058027762,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:38.755,YES,105833058027762,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:38.755,NO,105833058027762,406,2147483647,850,nullnull,28,-87,-15,2147483647,2147483647,2147483647
11-20 17:35:38.755,NO,105833058027762,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:38.755,NO,105833058027762,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:38.755,NO,105833058027762,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:38.755,NO,105833058027762,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:38.757,YES,105833058027762,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:38.757,NO,105833058027762,406,2147483647,850,nullnull,28,-87,-15,2147483647,2147483647,2147483647
11-20 17:35:38.757,NO,105833058027762,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:38.757,NO,105833058027762,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:38.757,NO,105833058027762,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:38.757,NO,105833058027762,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:39.273,YES,105835131426562,422,34624,850,310410,31,-77,-11,2147483647,2147483647,2147483647
11-20 17:35:39.273,NO,105835131426562,406,2147483647,850,nullnull,25,-87,-11,2147483647,2147483647,2147483647
11-20 17:35:39.273,NO,105835131426562,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:39.273,NO,105835131426562,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:39.273,NO,105835131426562,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:39.273,NO,105835131426562,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:39.280,YES,105835131426562,422,34624,850,310410,31,-77,-11,2147483647,2147483647,2147483647
11-20 17:35:39.280,NO,105835131426562,406,2147483647,850,nullnull,25,-87,-11,2147483647,2147483647,2147483647
11-20 17:35:39.280,NO,105835131426562,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:39.280,NO,105835131426562,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:39.280,NO,105835131426562,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:39.280,NO,105835131426562,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:39.774,YES,105835131426562,422,34624,850,310410,31,-77,-11,2147483647,2147483647,2147483647
11-20 17:35:39.774,NO,105835131426562,406,2147483647,850,nullnull,25,-87,-11,2147483647,2147483647,2147483647
11-20 17:35:39.774,NO,105835131426562,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:39.774,NO,105835131426562,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:39.774,NO,105835131426562,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:39.774,NO,105835131426562,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:39.780,YES,105835131426562,422,34624,850,310410,31,-77,-11,2147483647,2147483647,2147483647
11-20 17:35:39.780,NO,105835131426562,406,2147483647,850,nullnull,25,-87,-11,2147483647,2147483647,2147483647
11-20 17:35:39.780,NO,105835131426562,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:39.780,NO,105835131426562,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:39.780,NO,105835131426562,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:39.780,NO,105835131426562,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:40.276,YES,105835131426562,422,34624,850,310410,31,-77,-11,2147483647,2147483647,2147483647
11-20 17:35:40.276,NO,105835131426562,406,2147483647,850,nullnull,25,-87,-11,2147483647,2147483647,2147483647
11-20 17:35:40.276,NO,105835131426562,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:40.276,NO,105835131426562,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:40.276,NO,105835131426562,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:40.276,NO,105835131426562,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:40.282,YES,105835131426562,422,34624,850,310410,31,-77,-11,2147483647,2147483647,2147483647
11-20 17:35:40.282,NO,105835131426562,406,2147483647,850,nullnull,25,-87,-11,2147483647,2147483647,2147483647
11-20 17:35:40.282,NO,105835131426562,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:40.282,NO,105835131426562,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:40.282,NO,105835131426562,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:40.282,NO,105835131426562,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:40.801,YES,105835131426562,422,34624,850,310410,31,-77,-11,2147483647,2147483647,2147483647
11-20 17:35:40.801,NO,105835131426562,406,2147483647,850,nullnull,25,-87,-11,2147483647,2147483647,2147483647
11-20 17:35:40.801,NO,105835131426562,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:40.801,NO,105835131426562,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:40.801,NO,105835131426562,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:40.801,NO,105835131426562,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:40.829,YES,105835131426562,422,34624,850,310410,31,-77,-11,2147483647,2147483647,2147483647
11-20 17:35:40.829,NO,105835131426562,406,2147483647,850,nullnull,25,-87,-11,2147483647,2147483647,2147483647
11-20 17:35:40.829,NO,105835131426562,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:40.829,NO,105835131426562,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:40.829,NO,105835131426562,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:40.829,NO,105835131426562,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:41.263,YES,105837183687861,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:41.263,NO,105837183687861,406,2147483647,850,nullnull,27,-86,-13,2147483647,2147483647,2147483647
11-20 17:35:41.263,NO,105837183687861,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:41.263,NO,105837183687861,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:41.263,NO,105837183687861,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:41.263,NO,105837183687861,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:41.265,YES,105837183687861,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:41.265,NO,105837183687861,406,2147483647,850,nullnull,27,-86,-13,2147483647,2147483647,2147483647
11-20 17:35:41.265,NO,105837183687861,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:41.265,NO,105837183687861,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:41.265,NO,105837183687861,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:41.265,NO,105837183687861,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:41.764,YES,105837183687861,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:41.764,NO,105837183687861,406,2147483647,850,nullnull,27,-86,-13,2147483647,2147483647,2147483647
11-20 17:35:41.764,NO,105837183687861,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:41.764,NO,105837183687861,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:41.764,NO,105837183687861,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:41.764,NO,105837183687861,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:41.766,YES,105837183687861,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:41.766,NO,105837183687861,406,2147483647,850,nullnull,27,-86,-13,2147483647,2147483647,2147483647
11-20 17:35:41.766,NO,105837183687861,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:41.766,NO,105837183687861,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:41.766,NO,105837183687861,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:41.766,NO,105837183687861,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:42.267,YES,105837183687861,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:42.267,NO,105837183687861,406,2147483647,850,nullnull,27,-86,-13,2147483647,2147483647,2147483647
11-20 17:35:42.267,NO,105837183687861,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:42.267,NO,105837183687861,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:42.267,NO,105837183687861,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:42.267,NO,105837183687861,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:42.268,YES,105837183687861,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:42.268,NO,105837183687861,406,2147483647,850,nullnull,27,-86,-13,2147483647,2147483647,2147483647
11-20 17:35:42.268,NO,105837183687861,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:42.268,NO,105837183687861,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:42.268,NO,105837183687861,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:42.268,NO,105837183687861,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:42.782,YES,105837183687861,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:42.782,NO,105837183687861,406,2147483647,850,nullnull,27,-86,-13,2147483647,2147483647,2147483647
11-20 17:35:42.782,NO,105837183687861,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:42.782,NO,105837183687861,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:42.782,NO,105837183687861,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:42.782,NO,105837183687861,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:42.788,YES,105837183687861,422,34624,850,310410,31,-77,-13,2147483647,2147483647,2147483647
11-20 17:35:42.788,NO,105837183687861,406,2147483647,850,nullnull,27,-86,-13,2147483647,2147483647,2147483647
11-20 17:35:42.788,NO,105837183687861,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:42.788,NO,105837183687861,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:42.788,NO,105837183687861,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:42.788,NO,105837183687861,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:43.339,YES,105839608134456,422,34624,850,310410,31,-77,-15,2147483647,2147483647,2147483647
11-20 17:35:43.339,NO,105839608134456,406,2147483647,850,nullnull,29,-86,-14,2147483647,2147483647,2147483647
11-20 17:35:43.339,NO,105839608134456,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:43.339,NO,105839608134456,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:43.339,NO,105839608134456,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:43.339,NO,105839608134456,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:43.356,YES,105839608134456,422,34624,850,310410,31,-77,-15,2147483647,2147483647,2147483647
11-20 17:35:43.356,NO,105839608134456,406,2147483647,850,nullnull,29,-86,-14,2147483647,2147483647,2147483647
11-20 17:35:43.356,NO,105839608134456,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:43.356,NO,105839608134456,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:43.356,NO,105839608134456,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:43.356,NO,105839608134456,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:43.773,YES,105839608134456,422,34624,850,310410,31,-77,-15,2147483647,2147483647,2147483647
11-20 17:35:43.773,NO,105839608134456,406,2147483647,850,nullnull,29,-86,-14,2147483647,2147483647,2147483647
11-20 17:35:43.773,NO,105839608134456,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:43.773,NO,105839608134456,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:43.773,NO,105839608134456,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:43.773,NO,105839608134456,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:43.776,YES,105839608134456,422,34624,850,310410,31,-77,-15,2147483647,2147483647,2147483647
11-20 17:35:43.776,NO,105839608134456,406,2147483647,850,nullnull,29,-86,-14,2147483647,2147483647,2147483647
11-20 17:35:43.776,NO,105839608134456,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:43.776,NO,105839608134456,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:43.776,NO,105839608134456,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:43.776,NO,105839608134456,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:44.272,YES,105839608134456,422,34624,850,310410,31,-77,-15,2147483647,2147483647,2147483647
11-20 17:35:44.272,NO,105839608134456,406,2147483647,850,nullnull,29,-86,-14,2147483647,2147483647,2147483647
11-20 17:35:44.272,NO,105839608134456,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:44.272,NO,105839608134456,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:44.272,NO,105839608134456,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:44.272,NO,105839608134456,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:44.274,YES,105839608134456,422,34624,850,310410,31,-77,-15,2147483647,2147483647,2147483647
11-20 17:35:44.274,NO,105839608134456,406,2147483647,850,nullnull,29,-86,-14,2147483647,2147483647,2147483647
11-20 17:35:44.274,NO,105839608134456,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:44.274,NO,105839608134456,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:44.274,NO,105839608134456,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:44.274,NO,105839608134456,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:44.772,YES,105839608134456,422,34624,850,310410,31,-77,-15,2147483647,2147483647,2147483647
11-20 17:35:44.772,NO,105839608134456,406,2147483647,850,nullnull,29,-86,-14,2147483647,2147483647,2147483647
11-20 17:35:44.772,NO,105839608134456,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
